Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.775828432,2.237603175,4.459782719,4.346931167,4.003898622,3.710496328,-2.021615482,9.388374034,6.263263438,1.826520495,0.871968424
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.001387617,0.885667635,1.236221085,1.603699953,0.826646712,0.429162534,-8.868221222,8.931062108,4.821176699,0.715372501,0.72579238
Jamaica,JAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.689822357,0.921487125,1.375223064,0.997123062,1.889923681,0.892291654,-9.920322451,4.6014245,5.221519852,2.604663055,-0.718806912
Jordan,JOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.384078099,2.496528793,1.994180849,2.473598154,1.919070913,1.751240779,-1.102751883,3.65564359,2.647435149,2.884083393,2.488894096
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.296205514,1.560626697,0.753826746,1.675331752,0.643391024,-0.402169201,-4.168764571,2.696574042,0.941998775,1.475034811,0.083698564
Kazakhstan,KAZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.200000006,1.200000001,1.099999999,4.100000003,4.099999993,4.500000001,-2.499999996,4.299999997,3.2,5.1,4.8
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.020111002,4.967721128,4.213517068,3.837958174,5.647946407,5.114158858,-0.272766327,7.590489473,4.859981043,5.555873013,4.496498285
Kyrgyz Republic,KGZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.024038631,3.875825445,4.335855922,4.739937224,3.757910136,4.600625657,-7.148977577,5.507007627,8.9675052,9.013292834,9.040135561
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.000320746,7.207034725,7.905501161,8.075039155,8.776223762,7.936950136,-3.555721934,3.089842842,5.129901108,5.007330438,6.015814574
Kiribati,KIR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.26366268,11.26532094,7.088034658,3.749117826,3.479439721,3.264287565,-1.468067181,8.479737871,4.566325931,2.652010875,5.266899264
St. Kitts and Nevis,KNA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.576966023,0.694135528,3.932703193,0.220941147,2.003525498,2.938246581,-15.30188917,0.367606879,10.34240405,4.328557716,1.166440229
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.202453795,2.809103268,2.946881715,3.15963574,2.907403774,2.24397786,-0.709415359,4.304734819,2.612672192,1.356733243,
Kuwait,KWT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.500914739,0.592770733,2.926075877,-4.712222701,2.743330539,2.263816906,-4.817789823,1.672636896,6.758667047,-1.667205897,-2.560111133
Latin America & Caribbean (excluding high income),LAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.269878816,0.252793335,-0.540931679,1.977349704,1.552546371,0.600027444,-6.523609091,6.870404453,3.85173953,2.188569461,2.012113862
Lao PDR,LAO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.61196344,7.270065844,7.022836255,6.892530873,6.247960008,5.457735092,0.503031829,2.528351005,2.707426526,3.745681402,4.258257247
