economy,year,economy_code,unemployment_with_basic_education_(%_of_total_labor_force_with_basic_education),education_level,unemployment_with_intermediate_education_(%_of_total_labor_force_with_intermediate_education),unemployment_with_advanced_education_(%_of_total_labor_force_with_advanced_education)
"Gambia, The",2023,GMB,,Advanced,,10.724
Georgia,2020,GEO,,Advanced,,12.308
Germany,2024,DEU,,Advanced,,2.565
Ghana,2022,GHA,,Advanced,,5.084
Gibraltar,2024,GIB,,Advanced,,
Greece,2024,GRC,,Advanced,,7.251
Greenland,2024,GRL,,Advanced,,
Grenada,2023,GRD,,Advanced,,4.246
Guam,2024,GUM,,Advanced,,
Guatemala,2023,GTM,,Advanced,,4.399
Guinea,2019,GIN,,Advanced,,17.519
Guinea-Bissau,2022,GNB,,Advanced,,6.132
Guyana,2019,GUY,,Advanced,,6.133
Haiti,2024,HTI,,Advanced,,
Honduras,2024,HND,,Advanced,,5.774
"Hong Kong SAR, China",2024,HKG,,Advanced,,2.867
Hungary,2024,HUN,,Advanced,,1.821
Iceland,2024,ISL,,Advanced,,2.252
India,2024,IND,,Advanced,,13.47
Indonesia,2023,IDN,,Advanced,,3.571
"Iran, Islamic Rep.",2023,IRN,,Advanced,,11.868
Iraq,2021,IRQ,,Advanced,,18.841
Ireland,2024,IRL,,Advanced,,3.15
Isle of Man,2024,IMN,,Advanced,,
Israel,2024,ISR,,Advanced,,2.363
Italy,2024,ITA,,Advanced,,3.366
Jamaica,2023,JAM,,Advanced,,1.682
Japan,2020,JPN,,Advanced,,2.47
Jordan,2023,JOR,,Advanced,,26.608
Kazakhstan,2017,KAZ,,Advanced,,3.49
Kenya,2022,KEN,,Advanced,,7.675
Kiribati,2020,KIR,,Advanced,,2.802
"Korea, Dem. People's Rep.",2024,PRK,,Advanced,,
"Korea, Rep.",2024,KOR,,Advanced,,2.748
Kosovo,2023,XKX,,Advanced,,7.591
Kuwait,2016,KWT,,Advanced,,5.68
Kyrgyz Republic,2018,KGZ,,Advanced,,5.93
Lao PDR,2022,LAO,,Advanced,,2.796
Latvia,2024,LVA,,Advanced,,3.997
Lebanon,2019,LBN,,Advanced,,14.469
Lesotho,2024,LSO,,Advanced,,19.682
Liberia,2017,LBR,,Advanced,,8.385
Libya,2024,LBY,,Advanced,,
Liechtenstein,2024,LIE,,Advanced,,
Lithuania,2024,LTU,,Advanced,,4.13
Luxembourg,2024,LUX,,Advanced,,4.784
"Macao SAR, China",2016,MAC,,Advanced,,1.49
Madagascar,2015,MDG,,Advanced,,8.451
Malawi,2020,MWI,,Advanced,,2.336
Malaysia,2022,MYS,,Advanced,,3.47
Maldives,2019,MDV,,Advanced,,2.603
Mali,2022,MLI,,Advanced,,12.693
Malta,2024,MLT,,Advanced,,2.07
Marshall Islands,2021,MHL,,Advanced,,1.813
Mauritania,2019,MRT,,Advanced,,12.767
Mauritius,2023,MUS,,Advanced,,3.793
Mexico,2024,MEX,,Advanced,,3.21
"Micronesia, Fed. Sts.",2024,FSM,,Advanced,,
